SID,sameDiff,Prime,Target,prime_file,target_file,Congruent,PIT_corr,PIT_rt,WM_corr,WM_rt,group,block,Trial,Load
1,1,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,0,1.8366,0,1.3368,A,H,32,High
1,1,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,0,1.7781,NA,NA,A,H,33,Low
1,1,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,0,0.9398,NA,NA,A,H,34,Low
1,0,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,1,0.9228,NA,NA,A,H,35,Low
1,1,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,0.7899,NA,NA,A,H,36,Low
1,1,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,1.0146,NA,NA,A,H,37,Low
1,0,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,0.6754,NA,NA,A,H,38,Low
1,0,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,0,0.8911,NA,NA,A,H,39,Low
1,1,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,1,0.8967,NA,NA,A,H,40,Low
1,1,nonpain,pain,images/Neutral_foot_03.jpg,images/Pain_foot_04.jpg,0,1,0.8665,NA,NA,A,H,41,Low
1,0,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,0.8619,NA,NA,A,H,42,Low
1,0,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,0,0.801,NA,NA,A,H,43,Low
1,0,pain,nonpain,images/Pain_foot_03.jpg,images/Neutral_foot_04.jpg,0,0,0.9712,NA,NA,A,H,44,Low
1,1,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,1,0.717,NA,NA,A,H,45,Low
1,1,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,1,0.7178,NA,NA,A,H,46,Low
1,0,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,1,0.6171,NA,NA,A,H,47,Low
1,0,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,1,0.659,NA,NA,A,H,48,Low
1,1,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,0.9438,NA,NA,A,H,49,Low
1,0,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,0.7843,NA,NA,A,H,50,Low
1,1,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,0.582,NA,NA,A,H,51,Low
1,1,pain,nonpain,images/Pain_foot_03.jpg,images/Neutral_foot_04.jpg,0,0,0.8008,NA,NA,A,H,52,Low
1,1,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,1,0.4841,NA,NA,A,H,53,Low
1,1,nonpain,pain,images/Neutral_hand_03.jpg,images/Pain_hand_04.jpg,0,1,0.5833,NA,NA,A,H,54,Low
1,0,nonpain,pain,images/Neutral_hand_03.jpg,images/Pain_hand_04.jpg,0,1,0.5707,NA,NA,A,H,55,Low
1,1,nonpain,nonpain,images/Neutral_foot_01.jpg,images/Neutral_foot_02.jpg,1,1,0.6391,NA,NA,A,H,56,Low
1,1,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,0.6326,NA,NA,A,H,57,Low
1,0,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,1,0.7528,NA,NA,A,H,58,Low
1,1,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,0,0.4001,NA,NA,A,H,59,Low
1,0,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,0.5316,NA,NA,A,H,60,Low
1,0,nonpain,nonpain,images/Neutral_foot_01.jpg,images/Neutral_foot_02.jpg,1,1,0.5827,NA,NA,A,H,61,Low
1,0,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,0.7159,NA,NA,A,H,62,Low
1,0,nonpain,pain,images/Neutral_foot_03.jpg,images/Pain_foot_04.jpg,0,1,0.5398,NA,NA,A,H,63,Low
1,0,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,1,0.47,NA,NA,A,H,64,Low
1,0,nonpain,pain,images/Neutral_foot_03.jpg,images/Pain_foot_04.jpg,0,1,0.857,NA,NA,A,H,65,Low
1,1,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,1,0.7015,NA,NA,A,H,66,Low
1,0,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,0.4774,NA,NA,A,H,67,Low
1,1,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,0,0.5995,NA,NA,A,H,68,Low
1,1,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,0.5445,NA,NA,A,H,69,Low
1,0,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,0,0.8214,NA,NA,A,H,70,Low
1,1,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,0.7138,NA,NA,A,H,71,Low
1,1,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,1,0.679,NA,NA,A,H,72,Low
1,0,nonpain,nonpain,images/Neutral_foot_01.jpg,images/Neutral_foot_02.jpg,1,1,0.6219,NA,NA,A,H,73,Low
1,0,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,1,0.5584,NA,NA,A,H,74,Low
1,1,nonpain,nonpain,images/Neutral_foot_01.jpg,images/Neutral_foot_02.jpg,1,1,0.5514,NA,NA,A,H,75,Low
1,1,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,1,0.7177,NA,NA,A,H,76,Low
1,0,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,0.9704,NA,NA,A,H,77,Low
1,1,nonpain,pain,images/Neutral_hand_03.jpg,images/Pain_hand_04.jpg,0,1,0.7896,NA,NA,A,H,78,Low
1,1,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,0,0.5016,NA,NA,A,H,79,Low
1,0,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,0,1.0673,NA,NA,A,H,80,Low
1,1,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,0.7347,NA,NA,A,H,81,Low
1,1,nonpain,pain,images/Neutral_foot_03.jpg,images/Pain_foot_04.jpg,0,1,0.7678,NA,NA,A,H,82,Low
1,0,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,1,0.5017,NA,NA,A,H,83,Low
1,0,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,1,0.5677,NA,NA,A,H,84,Low
1,1,pain,nonpain,images/Pain_foot_03.jpg,images/Neutral_foot_04.jpg,0,0,0.5515,NA,NA,A,H,85,Low
1,1,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,0.4681,NA,NA,A,H,86,Low
1,1,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,0,0.4354,NA,NA,A,H,87,Low
1,0,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,1,0.4678,NA,NA,A,H,88,Low
1,0,pain,nonpain,images/Pain_foot_03.jpg,images/Neutral_foot_04.jpg,0,0,0.4014,NA,NA,A,H,89,Low
1,0,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,0,0.3683,NA,NA,A,H,90,Low
1,1,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,1,0.5859,NA,NA,A,H,91,Low
1,0,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,0.4183,NA,NA,A,H,92,Low
1,0,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,0.5685,NA,NA,A,H,93,Low
1,1,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,0.3186,NA,NA,A,H,94,Low
1,0,nonpain,pain,images/Neutral_hand_03.jpg,images/Pain_hand_04.jpg,0,1,0.4183,NA,NA,A,H,95,Low
1,0,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,0.7349,NA,NA,A,H,96,Low
1,0,nonpain,pain,images/Neutral_foot_03.jpg,images/Pain_foot_04.jpg,0,1,0.6402,1,0.9528,A,H,97,High
1,0,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,0.6423,1,1.1516,A,H,98,High
1,0,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,1,0.6099,1,0.7053,A,H,99,High
1,1,nonpain,nonpain,images/Neutral_foot_01.jpg,images/Neutral_foot_02.jpg,1,1,1.6603,0,0.9345,A,H,100,High
1,1,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,1,0.654,1,0.7452,A,H,101,High
1,1,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,1,1.6926,0,1.1385,A,H,102,High
1,0,pain,nonpain,images/Pain_foot_03.jpg,images/Neutral_foot_04.jpg,0,0,0.709,1,1.49,A,H,103,High
1,1,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,0,0.7161,1,1.6044,A,H,104,High
1,0,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,1.3387,1,1.0653,A,H,105,High
1,1,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,0.9415,0,1.1367,A,H,106,High
1,1,pain,nonpain,images/Pain_foot_03.jpg,images/Neutral_foot_04.jpg,0,1,1.3039,0,2.3972,A,H,107,High
1,0,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,0.7479,1,0.9365,A,H,108,High
1,1,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,0,1.3831,0,0.8558,A,H,109,High
1,1,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,0.8254,0,1.1344,A,H,110,High
1,1,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,0,0.8838,1,1.0837,A,H,111,High
1,0,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,0.5647,1,1.1214,A,H,112,High
1,0,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,0,1.4941,1,1.1573,A,H,113,High
1,1,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,0.6592,1,0.9222,A,H,114,High
1,0,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,0,0.6174,1,0.9184,A,H,115,High
1,0,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,0,1.1006,1,1.4507,A,H,116,High
1,1,nonpain,pain,images/Neutral_hand_03.jpg,images/Pain_hand_04.jpg,0,1,0.9843,0,1.1781,A,H,117,High
1,0,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,0,0.7741,1,0.9828,A,H,118,High
1,1,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,1,0.8782,0,0.8756,A,H,119,High
1,0,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,1,0.8832,1,1.066,A,H,120,High
1,0,nonpain,pain,images/Neutral_hand_03.jpg,images/Pain_hand_04.jpg,0,1,0.6493,1,0.6347,A,H,121,High
1,0,nonpain,nonpain,images/Neutral_foot_01.jpg,images/Neutral_foot_02.jpg,1,1,0.7947,1,1.0199,A,H,122,High
1,1,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,1.1744,0,0.8674,A,H,123,High
1,1,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,1,0.8752,0,0.9497,A,H,124,High
1,0,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,0,1.0942,1,1.953,A,H,125,High
1,1,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,0.7337,1,1.0978,A,H,126,High
1,0,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,0,1.1382,1,0.959,A,H,127,High
1,1,nonpain,pain,images/Neutral_foot_03.jpg,images/Pain_foot_04.jpg,0,1,0.778,0,1.0903,A,H,128,High
1,1,pain,nonpain,images/Pain_foot_03.jpg,images/Neutral_foot_04.jpg,0,0,0.8376,0,1.1804,A,H,129,High
1,0,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,1.4846,1,1.0507,A,H,130,High
1,0,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,1,0.7625,1,1.077,A,H,131,High
1,0,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,0,1.5361,1,0.8364,A,H,132,High
1,0,nonpain,nonpain,images/Neutral_foot_01.jpg,images/Neutral_foot_02.jpg,1,1,0.6251,1,1.5012,A,H,133,High
1,1,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,0,1.0128,0,1.3336,A,H,134,High
1,1,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,1,0.8473,0,0.9523,A,H,135,High
1,0,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,0,0.698,0,1.4838,A,H,136,High
1,1,nonpain,pain,images/Neutral_foot_03.jpg,images/Pain_foot_04.jpg,0,1,0.9131,0,1.2738,A,H,137,High
1,1,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,1,1.4398,0,1.0882,A,H,138,High
1,0,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,0,0.9154,1,2.0516,A,H,139,High
1,0,pain,nonpain,images/Pain_foot_03.jpg,images/Neutral_foot_04.jpg,0,0,0.788,1,0.7729,A,H,140,High
1,1,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,0,0.8738,0,0.9519,A,H,141,High
1,1,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,0,0.6566,1,0.9412,A,H,142,High
1,0,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,0.9879,1,0.8172,A,H,143,High
1,0,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,0.7514,1,1.2171,A,H,144,High
1,1,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,1,0.8161,1,1.436,A,H,145,High
1,0,nonpain,pain,images/Neutral_foot_03.jpg,images/Pain_foot_04.jpg,0,1,0.9059,1,1.0751,A,H,146,High
1,1,nonpain,nonpain,images/Neutral_foot_01.jpg,images/Neutral_foot_02.jpg,1,1,0.7533,1,0.8396,A,H,147,High
1,0,nonpain,pain,images/Neutral_hand_03.jpg,images/Pain_hand_04.jpg,0,1,1.1821,1,0.8749,A,H,148,High
1,1,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,0.8647,1,0.8911,A,H,149,High
1,1,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,0.7917,0,1.7836,A,H,150,High
1,1,nonpain,pain,images/Neutral_hand_03.jpg,images/Pain_hand_04.jpg,0,1,0.9324,1,0.9175,A,H,151,High
1,1,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,1.2327,1,1.3959,A,H,152,High
1,0,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,1,1.0336,1,0.9961,A,H,153,High
1,1,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,0.7583,0,0.9553,A,H,154,High
1,0,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,0,0.6326,1,1.1706,A,H,155,High
1,0,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,0.7285,1,0.8894,A,H,156,High
1,0,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,1,1.0408,1,1.2056,A,H,157,High
1,0,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,0.5318,1,0.8674,A,H,158,High
1,1,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,0.9197,0,1.1161,A,H,159,High
1,1,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,1,0.7281,1,0.97,A,H,160,High
1,1,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,1.1329,NA,NA,A,H,161,Low
1,1,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,1,0.8724,NA,NA,A,H,162,Low
1,0,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,0,0.6261,NA,NA,A,H,163,Low
1,1,nonpain,nonpain,images/Neutral_foot_01.jpg,images/Neutral_foot_02.jpg,1,1,1.1752,NA,NA,A,H,164,Low
1,1,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,0,0.7342,NA,NA,A,H,165,Low
1,0,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,1,0.8835,NA,NA,A,H,166,Low
1,0,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,0,0.7102,NA,NA,A,H,167,Low
1,0,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,0.6013,NA,NA,A,H,168,Low
1,0,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,1.0339,NA,NA,A,H,169,Low
1,1,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,0,1.2001,NA,NA,A,H,170,Low
1,1,nonpain,pain,images/Neutral_hand_03.jpg,images/Pain_hand_04.jpg,0,1,0.9514,NA,NA,A,H,171,Low
1,0,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,0.665,NA,NA,A,H,172,Low
1,0,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,1,0.5221,NA,NA,A,H,173,Low
1,1,pain,nonpain,images/Pain_foot_03.jpg,images/Neutral_foot_04.jpg,0,0,0.7046,NA,NA,A,H,174,Low
1,0,pain,nonpain,images/Pain_foot_03.jpg,images/Neutral_foot_04.jpg,0,0,0.5681,NA,NA,A,H,175,Low
1,1,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,0,0.7847,NA,NA,A,H,176,Low
1,0,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,0,0.4179,NA,NA,A,H,177,Low
1,0,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,0.8173,NA,NA,A,H,178,Low
1,1,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,1,0.5916,NA,NA,A,H,179,Low
1,0,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,0.4352,NA,NA,A,H,180,Low
1,0,nonpain,pain,images/Neutral_foot_03.jpg,images/Pain_foot_04.jpg,0,1,0.7006,NA,NA,A,H,181,Low
1,1,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,0.4665,NA,NA,A,H,182,Low
1,1,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,0.3461,NA,NA,A,H,183,Low
1,1,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,1,1.2115,NA,NA,A,H,184,Low
1,0,nonpain,nonpain,images/Neutral_foot_01.jpg,images/Neutral_foot_02.jpg,1,1,0.5848,NA,NA,A,H,185,Low
1,1,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,0.7383,NA,NA,A,H,186,Low
1,0,nonpain,pain,images/Neutral_hand_03.jpg,images/Pain_hand_04.jpg,0,1,0.6412,NA,NA,A,H,187,Low
1,1,nonpain,pain,images/Neutral_foot_03.jpg,images/Pain_foot_04.jpg,0,1,0.5947,NA,NA,A,H,188,Low
1,1,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,1,0.5341,NA,NA,A,H,189,Low
1,1,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,0.9111,NA,NA,A,H,190,Low
1,0,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,1,0.6459,NA,NA,A,H,191,Low
1,0,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,1,0.9041,NA,NA,A,H,192,Low
1,1,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,1,0.9359,NA,NA,A,H,193,Low
1,0,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,1,1.5144,NA,NA,A,H,194,Low
1,1,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,1,0.796,NA,NA,A,H,195,Low
1,1,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,1,0.8493,NA,NA,A,H,196,Low
1,0,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,1.0328,NA,NA,A,H,197,Low
1,1,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,1,0.6359,NA,NA,A,H,198,Low
1,0,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,1.5206,NA,NA,A,H,199,Low
1,1,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,0.8518,NA,NA,A,H,200,Low
1,1,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,1.0489,NA,NA,A,H,201,Low
1,0,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,1,0.7298,NA,NA,A,H,202,Low
1,0,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,0.5857,NA,NA,A,H,203,Low
1,1,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,1,0.7381,NA,NA,A,H,204,Low
1,0,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,1,0.8009,NA,NA,A,H,205,Low
1,1,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,0.7174,NA,NA,A,H,206,Low
1,0,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,1,0.6829,NA,NA,A,H,207,Low
